title;artist;top genre;bpm;nrgy;dnce;dB;live;dur;acous;spch
Closer;The Chainsmokers;electropop;95;52;75;-6;11;245;41;3
Starboy;The Weeknd;canadian contemporary r&b;186;59;68;-7;14;230;14;28
Treat You Better;Shawn Mendes;canadian pop;83;82;44;-4;11;188;11;34
That's What I Like;Bruno Mars;pop;134;56;85;-5;9;207;1;4
Let Me Love You;DJ Snake;electronic trap;100;72;65;-5;14;206;9;3
I Feel It Coming;The Weeknd;canadian contemporary r&b;93;82;77;-6;7;269;43;12
Mercy;Shawn Mendes;canadian pop;148;66;56;-5;11;209;13;8
Side To Side;Ariana Grande;dance pop;159;74;65;-6;24;226;5;23
Stay;Zedd;complextro;102;62;69;-5;12;210;25;6
It Ain't Me (with Selena Gomez);Kygo;edm;100;53;64;-7;9;221;12;7
Malibu;Miley Cyrus;dance pop;140;78;57;-6;8;232;8;6
Something Just Like This;The Chainsmokers;electropop;103;65;61;-7;17;248;3;4
Rockabye (feat. Sean Paul & Anne-Marie);Clean Bandit;dance pop;102;76;72;-4;18;251;41;5
I Don’t Wanna Live Forever (Fifty Shades Darker);ZAYN;dance pop;118;45;74;-8;33;245;6;6
My Way;Calvin Harris;dance pop;120;91;82;-3;16;219;9;4
I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne);DJ Khaled;dance pop;81;67;61;-4;17;289;6;4
Praying;Kesha;dance pop;73;39;58;-7;11;230;49;3
Despacito - Remix;Luis Fonsi;latin;178;82;65;-4;10;229;23;17
The Greatest;Sia;australian dance;192;73;67;-6;6;210;1;27
There for You;Martin Garrix;big room;106;64;61;-8;12;222;12;6
Paris;The Chainsmokers;electropop;100;64;65;-7;9;222;2;3
Younger Now;Miley Cyrus;dance pop;122;87;55;-5;14;249;0;6
Body Moves;DNCE;dance pop;102;69;65;-5;4;236;0;4
Reality (feat. Janieck Devy) - Radio Edit;Lost Frequencies;belgian edm;122;64;73;-7;8;158;2;4
Angel;Fifth Harmony;dance pop;124;53;74;-6;35;189;0;4
Touch (feat. Kid Ink);Little Mix;dance pop;102;75;64;-4;49;203;4;11
We Don't Talk Anymore - DROELOE Remix;Charlie Puth;dance pop;100;82;70;-5;45;218;49;22
Love Incredible (feat. Camila Cabello);Cashmere Cat;downtempo;167;50;37;-9;20;180;6;12
No Vacancy (with Sebastián Yatra);OneRepublic;dance pop;100;76;69;-4;14;223;8;4
Rich Boy;Galantis;big room;110;90;74;-2;8;184;7;5
Lust for Life (with The Weeknd);Lana Del Rey;art pop;100;67;51;-9;36;264;58;6
Greenlight (feat. Flo Rida & LunchMoney Lewis);Pitbull;dance pop;115;83;70;-6;36;245;28;27
Influence;Tove Lo;dance pop;105;59;77;-10;11;225;10;5
Remember I Told You;Nick Jonas;dance pop;113;53;68;-6;4;202;14;28
Messin' Around;Pitbull;dance pop;158;81;57;-5;4;223;2;5
Water Under the Bridge;Adele;british soul;95;84;60;-7;11;240;2;7
Free Me;Sia;australian dance;87;46;27;-4;14;286;85;3
Kissing Strangers - Remix;DNCE;dance pop;120;77;76;-6;8;202;8;5
A L I E N S;Coldplay;permanent wave;148;88;43;-5;21;282;0;4
One Kiss (with Dua Lipa);Calvin Harris;dance pop;124;86;79;-3;8;215;4;11
Havana (feat. Young Thug);Camila Cabello;dance pop;105;52;77;-4;13;217;18;3
I Like It;Cardi B;pop;136;73;82;-4;37;253;10;13
New Rules;Dua Lipa;dance pop;116;70;76;-6;15;209;0;7
There's Nothing Holdin' Me Back;Shawn Mendes;canadian pop;122;81;87;-4;8;199;38;6
no tears left to cry;Ariana Grande;dance pop;122;71;70;-6;29;206;4;6
IDGAF;Dua Lipa;dance pop;97;54;84;-6;8;218;4;9
In My Blood;Shawn Mendes;canadian pop;140;71;62;-7;13;211;6;7
Wolves;Selena Gomez;dance pop;125;80;72;-5;20;198;12;4
Dusk Till Dawn - Radio Edit;ZAYN;dance pop;180;44;26;-7;11;239;10;4
Attention;Charlie Puth;dance pop;100;61;78;-5;13;209;11;5
Electricity (with Dua Lipa);Silk City;edm;118;67;59;-6;34;238;1;5
Love On The Brain;Rihanna;barbadian pop;172;64;51;-5;8;224;7;5
Let Me Go (with Alesso, Florida Georgia Line & watt);Hailee Steinfeld;dance pop;103;71;66;-4;8;175;3;5
Let Me;ZAYN;dance pop;168;57;46;-6;10;185;24;5
Supernova;Ansel Elgort;dance pop;140;62;77;-5;21;191;6;10
Nervous;Shawn Mendes;canadian pop;122;62;84;-7;13;164;4;8
First Time;Kygo;edm;90;59;63;-7;10;194;20;11
End Game;Taylor Swift;pop;159;59;65;-6;11;245;1;6
Mi Gente (feat. Beyoncé);J Balvin;latin;105;72;76;-6;23;210;2;8
Lemon;N.E.R.D;hip hop;95;73;92;-7;12;220;0;9
For You (With Rita Ora);Liam Payne;dance pop;113;80;54;-5;42;243;2;3
Want To;Dua Lipa;dance pop;92;69;57;-5;6;212;8;12
What I Need (feat. Kehlani);Hayley Kiyoko;dance pop;104;79;63;-4;16;220;5;6
Wait;Maroon 5;pop;126;60;66;-5;11;191;10;6
What About Us;P!nk;dance pop;114;59;39;-6;9;272;3;6
Kissing Strangers;DNCE;dance pop;120;74;77;-6;9;202;5;4
2U (feat. Justin Bieber);David Guetta;dance pop;145;61;53;-7;23;195;23;6
Walk On Water (feat. Beyoncé);Eminem;detroit hip hop;82;44;48;-10;64;304;81;24
This Town;Niall Horan;dance pop;112;41;68;-8;12;233;70;3
Girls (feat. Cardi B, Bebe Rexha & Charli XCX);Rita Ora;dance pop;94;69;73;-4;10;221;2;5
MOVE TO MIAMI;Enrique Iglesias;dance pop;100;87;76;-4;7;169;3;5
Miss You (with Major Lazer & Tory Lanez);Cashmere Cat;downtempo;100;64;75;-5;11;186;25;9
Filthy;Justin Timberlake;dance pop;97;58;75;-6;25;294;4;14
Never Be the Same - Radio Edit;Camila Cabello;dance pop;130;69;63;-4;12;227;16;9
Ferrari;Bebe Rexha;dance pop;77;48;58;-6;10;213;2;3
Supplies;Justin Timberlake;dance pop;120;55;79;-7;13;226;1;5
Boom Boom;RedOne;moroccan pop;110;76;75;-8;20;248;0;5
...Ready For It? - BloodPop® Remix;Taylor Swift;pop;160;84;58;-5;10;190;13;22
Giant (with Rag'n'Bone Man);Calvin Harris;dance pop;122;89;81;-4;8;229;2;4
Takeaway;The Chainsmokers;electropop;100;51;53;-8;10;210;13;3
All Around The World (La La La);R3HAB;big room;125;86;73;-5;11;148;48;3
Girls Like You (feat. Cardi B);Maroon 5;pop;125;54;85;-7;13;236;57;5
Call You Mine;The Chainsmokers;electropop;104;70;59;-6;34;218;20;3
No Guidance (feat. Drake);Chris Brown;dance pop;93;45;70;-7;16;261;12;15
Antisocial (with Travis Scott);Ed Sheeran;pop;152;82;72;-5;36;162;13;5
Taki Taki (feat. Selena Gomez, Ozuna & Cardi B);DJ Snake;electronic trap;96;80;84;-4;6;213;16;23
Con Calma - Remix;Daddy Yankee;latin;94;87;74;-3;4;181;17;5
